uid, name, line_name, lat, lng, area
502, 上地, 地铁13号线, 40.03158092160771, 116.3141537663655, 海淀区
503, 清河, 地铁13号线, 40.04010547411034, 116.30840641187099, 海淀区
504, 西二旗, 地铁13号线, 40.051693864487206, 116.2999943521467, 海淀区
505, 龙泽, 地铁13号线, 40.06951736781658, 116.3136122809691, 昌平区
506, 回龙观, 地铁13号线, 40.069433997917756, 116.32988535210936, 昌平区
507, 霍营, 地铁13号线, 40.06988966964725, 116.3538926958612, 昌平区
508, 立水桥, 地铁13号线, 40.05155896832614, 116.40562456871587, 朝阳区
509, 北苑, 地铁13号线, 40.0416158801874, 116.4284858809694, 朝阳区
510, 望京西, 地铁13号线, 39.994185253769345, 116.44284152596629, 朝阳区
511, 芍药居, 地铁13号线, 39.97600396970949, 116.43058607697259, 朝阳区
512, 光熙门, 地铁13号线, 39.967117734475885, 116.4256102570746, 朝阳区
513, 柳芳, 地铁13号线, 39.956771302922576, 116.42652750201296, 朝阳区
514, 东直门, 地铁13号线, 39.94048013789938, 116.42863408535536, 东城区
662, 四惠, 地铁八通线, 39.90752942356504, 116.48955208972741, 朝阳区
663, 四惠东, 地铁八通线, 39.907428966399294, 116.50964166252307, 朝阳区
664, 高碑店, 地铁八通线, 39.908382077777794, 116.52572103560173, 朝阳区
665, 传媒大学, 地铁八通线, 39.90820928731599, 116.54901980475617, 朝阳区
666, 双桥, 地铁八通线, 39.90918577446458, 116.57093492175464, 朝阳区
667, 管庄, 地铁八通线, 39.90805350287165, 116.59355337345195, 朝阳区
668, 八里桥, 地铁八通线, 39.90502175096276, 116.61291154808013, 朝阳区
669, 通州北苑, 地铁八通线, 39.90264960184291, 116.63139600454053, 通州区
670, 果园, 地铁八通线, 39.89224414656075, 116.64079438574605, 通州区
671, 九棵树, 地铁八通线, 39.88913972329545, 116.65160902048812, 通州区
672, 梨园, 地铁八通线, 39.8825607733484, 116.66280015409545, 通州区
673, 临河里, 地铁八通线, 39.87424812133518, 116.67295116443186, 通州区
674, 土桥, 地铁八通线, 39.87083108126483, 116.68015501601836, 通州区
175, 天通苑北, 地铁5号线, 40.0819132256651, 116.40671302780248, 昌平区
176, 天通苑, 地铁5号线, 40.07379571885478, 116.40657052720385, 昌平区
177, 天通苑南, 地铁5号线, 40.0650715007513, 116.40645967369375, 昌平区
178, 立水桥, 地铁5号线, 40.05155896832614, 116.40562456871587, 朝阳区
179, 立水桥南, 地铁5号线, 40.04048875043317, 116.40832170928412, 朝阳区
180, 北苑路北, 地铁5号线, 40.02921578217097, 116.41185421079336, 朝阳区
181, 大屯路东, 地铁5号线, 40.001999266221986, 116.41187498728166, 朝阳区
182, 惠新西街北口, 地铁5号线, 39.986522633763826, 116.41084162873088, 朝阳区
183, 惠新西街南口, 地铁5号线, 39.97565713899435, 116.4113568945419, 朝阳区
184, 和平西桥, 地铁5号线, 39.96689222761255, 116.41178201510253, 朝阳区
185, 和平里北街, 地铁5号线, 39.957155034391455, 116.41237818475591, 东城区
186, 雍和宫, 地铁5号线, 39.9474901078184, 116.4104652329971, 东城区
187, 北新桥, 地铁5号线, 39.939493958264954, 116.4106491385748, 东城区
188, 张自忠路, 地铁5号线, 39.93230134258626, 116.41093264678965, 东城区
189, 东四, 地铁5号线, 39.922913225411506, 116.41063962213569, 东城区
190, 灯市口, 地铁5号线, 39.91576720784655, 116.41161734652478, 东城区
191, 东单, 地铁5号线, 39.90691559084319, 116.41271306577488, 东城区
192, 崇文门, 地铁5号线, 39.89955765384829, 116.41176592989903, 东城区
